FIXED|v1_t1_b_6|Old: waveform_phaser_anim.svg|New: waveform_time_domain.svg|Reason: Image 'phase' but text lacks ['phase', 'cancel', 'coherent', 'polarity', 'shift']
FIXED|v1_t1_i_8|Old: phase_cancellation.svg|New: mic_vs_line_level.svg|Reason: Image 'phase' but text lacks ['phase', 'cancel', 'coherent', 'polarity', 'shift']
FIXED|v1_t2_i_8|Old: diagram_fletcher_munson_v2.png|New: bass_woofer.svg|Reason: Image 'fletcher' but text lacks ['fletcher', 'munson', 'hearing', 'loudness', 'sensitivity', 'contour', 'perception']
FIXED|v1_t6_i_7|Old: microphone_symbols.svg|New: cardioid_off_axis_color.svg|Reason: Image 'microphone' but text lacks ['mic', 'pickup', 'pattern', 'transducer', 'diaphragm', 'phantom']
FIXED|v1_t7_i_4|Old: phase_cancellation.svg|New: Stereo Spreader.png|Reason: Image 'phase' but text lacks ['phase', 'cancel', 'coherent', 'polarity', 'shift']
FIXED|v1_t8_b_1|Old: MIDI Piano Roll Logic.png|New: pre_post_fader.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v1_t8_b_3|Old: MIDI Piano Roll Logic.png|New: snap_grid.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v1_t9_i_2|Old: diagram_spdif_connectors_v2.png|New: daw_interface.svg|Reason: Image 'connector' but text lacks ['connector', 'xlr', 'trs', 'ts', 'rca', 'jack', 'plug']
FIXED|v1_t9_i_4|Old: diagram_spdif_connectors_v2.png|New: digital_quantization_error_steps.svg|Reason: Image 'connector' but text lacks ['connector', 'xlr', 'trs', 'ts', 'rca', 'jack', 'plug']
FIXED|v1_t9_i_5|Old: diagram_spdif_connectors_v2.png|New: equipment_digital_connectors_usb_thunderbolt.svg|Reason: Image 'spdif' but text lacks ['spdif', 'digital', 'coaxial', 'optical', 'interface', 'connect']
FIXED|v1_t9_i_9|Old: diagram_spdif_connectors_v2.png|New: Mastering_and_production_room_at_Audio_Mix_House,_Studio_D_(13431465744).jpg|Reason: Image 'spdif' but text lacks ['spdif', 'digital', 'coaxial', 'optical', 'interface', 'connect']
FIXED|v1_t10_i_3|Old: equipment_cable_types_connector_guide.svg|New: cable_capacitance_filter.svg|Reason: Image 'connector' but text lacks ['connector', 'xlr', 'trs', 'ts', 'rca', 'jack', 'plug']
FIXED|v1_t10_i_6|Old: equipment_cable_types_connector_guide.svg|New: ground_loop_diagram.svg|Reason: Image 'cable' but text lacks ['cable', 'lr', 'trs', 'xlr', 'balanc', 'connect', 'lead', 'wire']
FIXED|v1_t10_i_8|Old: equipment_cable_types_connector_guide.svg|New: acoustics_sound_isolation_mass_air_mass.svg|Reason: Image 'connector' but text lacks ['connector', 'xlr', 'trs', 'ts', 'rca', 'jack', 'plug']
FIXED|v1_t11_b_4|Old: microphone_preamp.svg|New: pad_switch.svg|Reason: Image 'microphone' but text lacks ['mic', 'pickup', 'pattern', 'transducer', 'diaphragm', 'phantom']
FIXED|v4_t2_b_7|Old: MIDI Piano Roll Logic.png|New: insert_flow.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v4_t5_b_7|Old: MIDI Piano Roll Logic.png|New: diagram_file_size_math_v2.png|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v4_t7_b_1|Old: midi_velocity.svg|New: multi_sampling_layers_diagram.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v4_t7_b_7|Old: MIDI Piano Roll Logic.png|New: sample_rate_dots.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
FIXED|v4_t8_b_7|Old: MIDI Piano Roll Logic.png|New: track_header.svg|Reason: Image 'midi' but text lacks ['midi', 'data', 'note', 'velocity', 'control', 'protocol']
